iter,rollout,ligand_rmsd,pocket_dist,log_p_target,log_p_student,advantage,loss
1,1,50.9925,17.0451,4.5000,-1.6539,5.0000,-24.2490
1,2,50.5304,18.1006,4.5000,-1.7479,5.0000,-23.9952
1,3,45.1816,8.9021,4.5000,-1.8379,5.0000,-24.0318
1,4,51.8127,17.6289,4.5000,-1.6932,5.0000,-24.2097
2,1,42.3708,13.2411,4.5000,-2.3994,5.0000,-24.3054
2,2,48.3801,16.0165,4.5000,-2.5310,5.0000,-24.0772
2,3,41.0115,6.7822,4.5000,-2.5310,5.0000,-24.1297
2,4,42.4835,14.2249,4.5000,-2.3994,5.0000,-23.9987
3,1,42.1334,5.9391,4.5000,-2.9172,5.0000,-24.1771
3,2,39.5221,8.6552,4.5000,-2.9365,5.0000,-24.2411
3,3,46.3798,7.5811,4.5000,-2.9348,5.0000,-24.0961
3,4,45.9292,12.2799,4.5000,-2.9365,5.0000,-24.3032
4,1,52.5906,23.3134,4.5000,-3.2242,5.0000,-24.1261
4,2,40.1544,11.7372,4.5000,-3.2242,5.0000,-24.3014
4,3,48.4777,7.7898,4.5000,-3.2240,5.0000,-24.4652
4,4,41.9214,9.4032,4.5000,-3.2242,5.0000,-24.3685
5,1,44.6727,17.7451,4.5000,-3.4473,5.0000,-24.2706
5,2,51.0825,13.9485,4.5000,-3.4473,5.0000,-24.2718
5,3,43.3799,10.7996,4.5000,-3.4470,5.0000,-24.1222
5,4,46.6110,15.4063,4.5000,-3.4464,5.0000,-24.3791
6,1,44.9002,18.7987,4.5000,-3.5362,5.0000,-24.1203
6,2,48.6473,13.4199,4.5000,-3.6296,5.0000,-24.1060
6,3,46.4059,13.4002,4.5000,-3.5790,5.0000,-24.3451
6,4,46.1260,9.5691,4.5000,-3.5626,5.0000,-24.3616
7,1,41.3188,12.6807,4.5000,-3.7144,5.0000,-24.1922
7,2,45.4864,15.4176,4.5000,-3.7071,5.0000,-24.2883
7,3,40.3369,14.1610,4.5000,-3.7818,5.0000,-24.3038
7,4,41.4828,6.8771,4.5000,-3.2510,5.0000,-24.2389
8,1,46.7233,16.1914,4.5000,-3.6495,5.0000,-24.2310
8,2,44.4838,7.4205,4.5000,-3.9119,5.0000,-24.1039
8,3,48.3506,16.0903,4.5000,-3.2275,5.0000,-24.4365
8,4,34.7181,10.2534,4.5000,-3.9173,5.0000,-24.1945
9,1,42.2973,8.6943,4.5000,-3.7908,5.0000,-24.4851
9,2,43.0459,10.5333,4.5000,-3.4658,5.0000,-24.2270
9,3,43.2979,11.6706,4.5000,-3.7851,5.0000,-24.2781
9,4,39.1850,8.3161,4.5000,-3.5447,5.0000,-24.2307
10,1,42.7265,8.3785,4.5000,-3.6697,5.0000,-24.2242
10,2,47.1963,16.3326,4.5000,-3.5433,5.0000,-24.2716
10,3,40.4717,16.8664,4.5000,-4.1405,5.0000,-24.1513
10,4,43.8052,11.4766,4.5000,-3.5059,5.0000,-24.1280
11,1,34.8986,14.0345,4.5000,-4.2358,5.0000,-24.2089
11,2,51.5553,7.4739,4.5000,-4.2358,5.0000,-24.3153
11,3,38.2184,7.1432,4.5000,-4.2256,5.0000,-24.0614
11,4,42.5982,11.4261,4.5000,-3.7286,5.0000,-23.9203
12,1,42.5252,4.4460,4.5000,-4.3143,5.0000,-24.0400
12,2,46.9969,11.1041,4.5000,-4.3144,5.0000,-24.3478
12,3,47.5530,17.8772,4.5000,-3.8090,5.0000,-24.2616
12,4,47.1594,18.1014,4.5000,-3.8125,5.0000,-24.2274
13,1,45.7987,5.9703,4.5000,-4.3995,5.0000,-24.2281
13,2,48.6404,11.0671,4.5000,-4.3983,5.0000,-24.3297
13,3,47.0319,8.5865,4.5000,-4.3168,5.0000,-24.0509
13,4,38.5382,14.1867,4.5000,-4.4013,5.0000,-24.2847
14,1,39.4607,6.5850,4.5000,-4.4429,5.0000,-24.4794
14,2,42.9417,8.2878,4.5000,-3.6783,5.0000,-24.1195
14,3,46.0013,13.0474,4.5000,-3.8527,5.0000,-24.2246
14,4,44.4188,10.8792,4.5000,-4.1497,5.0000,-24.4307
15,1,47.8369,10.4004,4.5000,-4.3597,5.0000,-24.3047
15,2,41.0668,9.8000,4.5000,-4.3822,5.0000,-24.0240
15,3,43.9539,21.8471,4.5000,-4.5459,5.0000,-24.0136
15,4,42.4033,8.7636,4.5000,-3.3799,5.0000,-24.3636
16,1,45.5457,17.6081,4.5000,-3.9342,5.0000,-24.1146
16,2,45.2061,17.8214,4.5000,-3.7313,5.0000,-24.2777
16,3,47.0256,13.6412,4.5000,-4.2171,5.0000,-24.2268
16,4,44.4769,16.1125,4.5000,-4.5557,5.0000,-24.2267
17,1,45.8716,10.1729,4.5000,-4.1612,5.0000,-24.3127
17,2,43.1296,14.6645,4.5000,-4.4082,5.0000,-24.2905
17,3,49.8834,20.0838,4.5000,-4.6709,5.0000,-24.3799
17,4,46.3998,10.8881,4.5000,-4.1389,5.0000,-24.2056
18,1,44.2365,13.1164,4.5000,-4.7178,5.0000,-24.3217
18,2,38.0111,6.7422,4.5000,-3.8619,5.0000,-24.3965
18,3,39.3662,18.1999,4.5000,-4.7258,5.0000,-24.1855
18,4,38.4129,6.8769,4.5000,-3.7721,5.0000,-24.3685
19,1,43.4595,4.1800,4.5000,-4.6409,5.0000,-24.2591
19,2,44.6663,8.1053,4.5000,-4.3530,5.0000,-24.4707
19,3,41.7264,5.1969,4.5000,-4.4936,5.0000,-24.2598
19,4,36.1276,6.1217,4.5000,-4.7819,5.0000,-24.3012
20,1,46.1067,9.9924,4.5000,-3.8233,5.0000,-24.5354
20,2,46.9580,15.1259,4.5000,-4.2216,5.0000,-24.4518
20,3,44.6824,7.1723,4.5000,-4.1400,5.0000,-24.1861
20,4,46.2415,5.8684,4.5000,-4.3240,5.0000,-24.3367
